codigo,ementa,nome_disciplina,nome_abreviado,horas,creditos,servico
1108100,Distribuição de frequência,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Tabelas,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Gráficos,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Medidas de posição,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Medidas de dispersão,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Introdução à probabilidade,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Esperança matemática,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Distribuições discretas,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Distribuições contínuas,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Noções elementares de amostragem,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Estimação pontual,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Estimação intervalar,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Testes de hipóteses,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Regressão,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
1108100,Correlação,Cálculo das Probabilidades e Estatística I,CPEI,60,4,TRUE
GDEST0101,Tabelas,Bioestatística,BIO,60,4,TRUE
GDEST0101,Gráficos,Bioestatística,BIO,60,4,TRUE
GDEST0101,Medidas de posição,Bioestatística,BIO,60,4,TRUE
GDEST0101,Medidas de assimetria e curtose ,Bioestatística,BIO,60,4,TRUE
GDEST0101,Medidas de variabilidade,Bioestatística,BIO,60,4,TRUE
GDEST0101,Demografia e coeficientes vitais,Bioestatística,BIO,60,4,TRUE
GDEST0101,Introdução à probabilidade,Bioestatística,BIO,60,4,TRUE
GDEST0101,Modelos epidemiológicos,Bioestatística,BIO,60,4,TRUE
GDEST0101,Modelos probabilísticos (binomial e normal),Bioestatística,BIO,60,4,TRUE
GDEST0101,Introdução a teoria da amostragem,Bioestatística,BIO,60,4,TRUE
GDEST0101,Estimação pontual,Bioestatística,BIO,60,4,TRUE
GDEST0101,Estimação intervalar,Bioestatística,BIO,60,4,TRUE
GDEST0101,Testes de hipóteses para média (um e duas amostras),Bioestatística,BIO,60,4,TRUE
GDEST0101,Testes de hipóteses para a proporção (uma e duas amostras),Bioestatística,BIO,60,4,TRUE
GDEST0101,Teste de independência,Bioestatística,BIO,60,4,TRUE
GDEST0101,Análise de variância com um fator,Bioestatística,BIO,60,4,TRUE
GDEST0101,Regressão,Bioestatística,BIO,60,4,TRUE
GDEST0101,Correlação,Bioestatística,BIO,60,4,TRUE
GDEST0102,Estatística descritiva,Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST0102,Indicadores sociais e econômicos,Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST0102,Introdução à probabilidade,Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST0102,Modelos probabilísticos (binomial e normal),Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST0102,Introdução a teoria da amostragem,Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST0102,Estimação pontual,Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST0102,Intervalo de confiança,Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST0102,Teste de hipóteses para média,Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST0102,Teste de hipóteses para proporção,Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST0102,Teste de hipóteses para variância populacional,Estatística para Ciências Humanas e Sociais I,ECHSI,60,4,TRUE
GDEST100,Introdução a teoria da amostragem,Estatística Básica,EB,60,4,TRUE
GDEST100,Tabelas,Estatística Básica,EB,60,4,TRUE
GDEST100,Gráficos,Estatística Básica,EB,60,4,TRUE
GDEST100,Medidas de posição,Estatística Básica,EB,60,4,TRUE
GDEST100,Medidas de assimetria e curtose ,Estatística Básica,EB,60,4,TRUE
GDEST100,Medidas de variabilidade,Estatística Básica,EB,60,4,TRUE
GDEST100,Regressão,Estatística Básica,EB,60,4,TRUE
GDEST100,Correlação,Estatística Básica,EB,60,4,TRUE
1108188,Medidas de tendência central,Introdução à Estatística,IE,60,4,TRUE
1108188,Medidas de variação,Introdução à Estatística,IE,60,4,TRUE
1108188,Distribuição binomial,Introdução à Estatística,IE,60,4,TRUE
1108188,Distribuição normal,Introdução à Estatística,IE,60,4,TRUE
1108188,Introdução a teoria da amostragem,Introdução à Estatística,IE,60,4,TRUE
1108188,Distribuição amostral da média,Introdução à Estatística,IE,60,4,TRUE
1108188,Distribuição amostral da proporção,Introdução à Estatística,IE,60,4,TRUE
1108188,Intrervalo de confiança para média,Introdução à Estatística,IE,60,4,TRUE
1108188,Intervalo de confiança para a proporção,Introdução à Estatística,IE,60,4,TRUE
1108188,Teste de hipóteses para a média,Introdução à Estatística,IE,60,4,TRUE
1108188,Testes de hipóteses para a proporção,Introdução à Estatística,IE,60,4,TRUE
1108188,Regressão linear simples,Introdução à Estatística,IE,60,4,TRUE
1108188,Análise de variância (ANOVA),Introdução à Estatística,IE,60,4,TRUE
1108188,Introdução ao controle estatístico de processo,Introdução à Estatística,IE,60,4,TRUE
GDEST0103,Regressão,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Correlação,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Teste de comparação de duas médias,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Teste de comparação de duas proporções,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Teste de comparação de duas variâncias populacionais,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Análise de variância com um fator,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Teste de comparação múltipla,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Teste qui-quadrado,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Teste de normalidade,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Teste de independência,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
GDEST0103,Comparação de duas ou mais populações,Estatística para Ciências Humanas e Sociais II,ECHSII,60,4,TRUE
1108124,Tipos de amostragem probabilística,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Distribuição amostral da média,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Distribuição amostral da proporção,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Distribuição amostral da diferença de duas médias,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Distribuição amostral da diferença de duas proporções,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Estimação pontual,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Intervalo de confiança para a média,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Intervalo de confiança para a proporção,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Intervalo de confiança para a diferença de duas médias,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Intervalo de confiança para a diferença de duas proporções,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Teste de hipóteses para a média,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Teste de hipóteses para a proporção,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Teste de hipóteses para diferença de duas médias,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Teste de hipóteses para a diferença de duas proporções,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Teste qui-quadrado para tabela de contingência,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Análise de variância com um fator – Teste F,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Teste de comparações múltiplas (Tukey e Scheffé),Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Análise de variância com dois fatores,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Análise de variância na regressão,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Correlação linear simples,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Correlação linear múltipla,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Regressão linear,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Regressão polinomial,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108124,Testes não-paramétricos,Métodos Estatísticos Aplicados às Ciências Tecnológicas,MEACT,60,4,TRUE
1108174,Análise de dados estatísticos,Estatística Vital,EV,45,3,TRUE
1108174,Coeficientes vitais,Estatística Vital,EV,45,3,TRUE
1108174,Probabilidades,Estatística Vital,EV,45,3,TRUE
1108174,Distribuições de probabilidade: binomial e normal,Estatística Vital,EV,45,3,TRUE
1108174,Teste de hipóteses,Estatística Vital,EV,45,3,TRUE
1108174,Intervalos de confianças,Estatística Vital,EV,45,3,TRUE
1108174,Correlação,Estatística Vital,EV,45,3,TRUE
1108174,Regressão linear simples,Estatística Vital,EV,45,3,TRUE
1108174,Análise de variância (ANOVA),Estatística Vital,EV,45,3,TRUE
1108104,Análise de dados estatísticos,Estatística ,E,45,3,TRUE
1108104,Noções de probabilidade,Estatística ,E,45,3,TRUE
1108104,Variáveis aleatórias,Estatística ,E,45,3,TRUE
1108104,Probabilidade condicional e independência,Estatística ,E,45,3,TRUE
1108104,Esperança matemática,Estatística ,E,45,3,TRUE
1108104,Distribuições de probabilidade: binomial e normal,Estatística ,E,45,3,TRUE
1108104,Teoria da amostragem,Estatística ,E,45,3,TRUE
1108104,Tipos de amostra: probabilística e não-probabilística,Estatística ,E,45,3,TRUE
1108104,Teste de hipóteses: média e proporção,Estatística ,E,45,3,TRUE
1108104,Intervalos de confiança: média e proporção,Estatística ,E,45,3,TRUE
1108104,Coeficiente de correlação linear,Estatística ,E,45,3,TRUE
1108104,Regressão linear simples,Estatística ,E,45,3,TRUE
1108116,Análise de dados estatísticos,Estatística Vital,EV,60,4,TRUE
1108116,Coeficientes vitais,Estatística Vital,EV,60,4,TRUE
1108116,Probabilidade,Estatística Vital,EV,60,4,TRUE
1108116,Distribuições de probabilidade: binomial e normal,Estatística Vital,EV,60,4,TRUE
1108116,Distribuição de médias amostrais,Estatística Vital,EV,60,4,TRUE
1108116,Teoria elementar da amostragem,Estatística Vital,EV,60,4,TRUE
1108116,Estimação pontual,Estatística Vital,EV,60,4,TRUE
1108116,Teste de hipótese,Estatística Vital,EV,60,4,TRUE
1108116,Correlação linear ,Estatística Vital,EV,60,4,TRUE
1108116,Regressão linear,Estatística Vital,EV,60,4,TRUE
1108116,Análise de variância (ANOVA),Estatística Vital,EV,60,4,TRUE
1108105,Conceitos Básicos em Relação ao fenômeno Educacional,Estatística Aplicada à Educação I,EAEI,60,4,TRUE
1108105,Normas e técnicas utilizadas em educação para distribuições de frequência e gráficos,Estatística Aplicada à Educação I,EAEI,60,4,TRUE
1108105,Medidas de  tendência central nos estudos pedagógicos,Estatística Aplicada à Educação I,EAEI,60,4,TRUE
1108105,Escores em variáveis educacionais,Estatística Aplicada à Educação I,EAEI,60,4,TRUE
1108105,Estudos de probabilidades ligados à fenômenos pedagógicos,Estatística Aplicada à Educação I,EAEI,60,4,TRUE
1108105,Coeficiente de correlação linear de dados educacionais numéricos,Estatística Aplicada à Educação I,EAEI,60,4,TRUE
1108106,"Espaço amostral, eventos,  tipos de eventos, definição de probabilidade, axiomas, probabilidade de resultados igualmente possíveis",Estatística Aplicada à Educação II,EAEII,75,5,TRUE
1108106,"Distribuição de probabilidade: distribuição binomial, distribuição normal e norma reduzida",Estatística Aplicada à Educação II,EAEII,75,5,TRUE
1108106,"Amostragem: amostras aleatórias, distribuição amostral das médias e distribuição das diferenças e somas",Estatística Aplicada à Educação II,EAEII,75,5,TRUE
1108106,"Estimação: estimativas sem vício, estimativas por ponto e por intervalo",Estatística Aplicada à Educação II,EAEII,75,5,TRUE
1108106,"Testes de Hipóteses: erros, nível de significância, Testes que envolvem a normal, teste t-Student e teste qui-quadrado",Estatística Aplicada à Educação II,EAEII,75,5,TRUE
1108107,Introdução às ideias básicas do método estatístico,Estatística Aplicada ao Serviço Social,EASS,60,6,TRUE
1108107,Fases do Trabalho Estatístico,Estatística Aplicada ao Serviço Social,EASS,60,6,TRUE
1108107,Introdução à Probabilidade,Estatística Aplicada ao Serviço Social,EASS,60,6,TRUE
1108107,Variáveis Aleatórias,Estatística Aplicada ao Serviço Social,EASS,60,6,TRUE
1108107,Distribuição de Probabilidade,Estatística Aplicada ao Serviço Social,EASS,60,6,TRUE
1108107,Introdução à Amostragem,Estatística Aplicada ao Serviço Social,EASS,60,6,TRUE
1108107,Estimação de Parâmetros,Estatística Aplicada ao Serviço Social,EASS,60,6,TRUE
1108107,Teste de Hipóteses,Estatística Aplicada ao Serviço Social,EASS,60,6,TRUE
1108174,Análise de dados estatísticos,Estatística Vital,EV,45,3,TRUE
1108174,Coeficientes vitais,Estatística Vital,EV,45,3,TRUE
1108174,"Probabilidade: espaço amostral, eventos, definição de probabilidade, propriedades, probabilidades da união e interseção",Estatística Vital,EV,45,3,TRUE
1108174,Distribuição de Probabilidade: binomial e normal,Estatística Vital,EV,45,3,TRUE
1108174,Teoria elementar da amostragem,Estatística Vital,EV,45,3,TRUE
1108174,Intervalos de confiança,Estatística Vital,EV,45,3,TRUE
1108174,Teses de Hipótese: testes considerando as distribuições normal t-Student e qui-quadrado,Estatística Vital,EV,45,3,TRUE
1108174,Regressão linear: método dos mínimos quadrados,Estatística Vital,EV,45,3,TRUE
1108174,"Correlação, correlação linear e coeficiente de correlação Linear",Estatística Vital,EV,45,3,TRUE
1108174,Análise de variância (ANOVA): uma variável,Estatística Vital,EV,45,3,TRUE
1108170,Conceitos básicos de probabilidade,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Probabilidade condicional e eventos independentes,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Variáveis aleatórias unidimensionais,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Variáveis Aleatórias de duas ou mais dimensões,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Esperanças e momentos de variáveis aleatórias,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Função característica,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Funções de variáveis aleatórias,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Principais distribuições de probabilidade discretas e contínuas,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Noções de amostragem,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Estimação e testes de hipóteses,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Regressão e correlação,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108170,Introdução aos processos estocásticos,Modelos Probabilísticos para a Computação,MPC,60,4,TRUE
1108109,Análise de dados estatísticos,Estatística Básica I,EBI,60,4,TRUE
1108109,Medidas de tendência central ,Estatística Básica I,EBI,60,4,TRUE
1108109,Medidas de variabilidade,Estatística Básica I,EBI,60,4,TRUE
1108109,"Probabilidades: introdução, definição e probabilidade condicional",Estatística Básica I,EBI,60,4,TRUE
1108109,Variáveis aleatórias unidimensionais: discretas e contínuas,Estatística Básica I,EBI,60,4,TRUE
1108109,Função de probabilidade e função densidade de probabilidade,Estatística Básica I,EBI,60,4,TRUE
1108109,"Esperança, variância e desvio padrão",Estatística Básica I,EBI,60,4,TRUE
1108109,"Distribuições de probabilidade: binomial, Poisson, exponencial e normal",Estatística Básica I,EBI,60,4,TRUE
1108108,Variáveis aleatórias: duas ou mais dimensões,Estatística Básica II,EBII,60,4,TRUE
1108108,Distribuição de probabilidade marginal e condicionada,Estatística Básica II,EBII,60,4,TRUE
1108108,Variáveis aleatórias independentes,Estatística Básica II,EBII,60,4,TRUE
1108108,Covariância e coeficiente de variação de duas variáveis aleatórias,Estatística Básica II,EBII,60,4,TRUE
1108108,Amostragem: amostragem casual simples e outros tipos de amostragem probabilística,Estatística Básica II,EBII,60,4,TRUE
1108108,"Distribuições amostrais: para média, proporções, diferença entre duas médias e diferença entre duas proporções",Estatística Básica II,EBII,60,4,TRUE
1108108,Estimação de Parâmetros,Estatística Básica II,EBII,60,4,TRUE
1108108,"Intervalos de Confiança: para média, proporções, diferença, entre duas médias e diferença entre duas proporções",Estatística Básica II,EBII,60,4,TRUE
1108108,"Teste de Hipótese: teste para média, proporções, diferença entre duas médias e diferença entre duas proporções",Estatística Básica II,EBII,60,4,TRUE
1108108,Teste qui-quadrado para tabela de contingência,Estatística Básica II,EBII,60,4,TRUE
1108108,Regressão: regressão linear por transformação,Estatística Básica II,EBII,60,4,TRUE
1108108,Regressão polinomial,Estatística Básica II,EBII,60,4,TRUE
1108108,Testes de hipóteses para coeficiente de correlação e regressão,Estatística Básica II,EBII,60,4,TRUE
1108176,Introdução à Probabilidade,Estatística Aplicada à Administração,EAA,60,4,TRUE
1108176,Probabilidade  condicional e independência,Estatística Aplicada à Administração,EAA,60,4,TRUE
1108176,Distribuições de probabilidade: binomial e normal,Estatística Aplicada à Administração,EAA,60,4,TRUE
1108176,Esperança matemática,Estatística Aplicada à Administração,EAA,60,4,TRUE
1108176,Introdução à amostragem:  probabilística (amostra aleatória simples e outros tipos de amostra) e não probabilística,Estatística Aplicada à Administração,EAA,60,4,TRUE
1108176,Distribuição amostral da média e da proporção,Estatística Aplicada à Administração,EAA,60,4,TRUE
1108176,Estimação pontual: Intervalo de confiança para a média e proporção,Estatística Aplicada à Administração,EAA,60,4,TRUE
1108176,Estimação intervalar,Estatística Aplicada à Administração,EAA,60,4,TRUE
1108176,Teste de hipótese: testes para a média e proporção populacional,Estatística Aplicada à Administração,EAA,60,4,TRUE
